No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
2704,surprised,"ngạc nhiên, kinh ngạc",/səˈpraɪzd/,feeling or showing surprise,She was surprised to see her old friend at the party.,adjective,A2
2705,surprising,"làm ngạc nhiên, gây kinh ngạc",/səˈpraɪzɪŋ/,causing surprise,It’s not surprising that they lost.,adjective,A2
2706,surprisingly,"(một cách) đáng ngạc nhiên, ngạc nhiên thay",/sərˈpraɪzɪŋli/,in a way that causes surprise,She looked surprisingly well.,adverb,
2707,surround,bao quanh; bao vây,/səˈraʊnd/,to be all around something/somebody,Tall trees surround the lake.,verb,B2
2708,survey,khảo sát; cuộc điều tra,/ˈsɜːveɪ/,"an investigation of the opinions, behaviour, etc. of a particular group of people, which is usually done by asking them questions",A recent survey showed 75 percent of those questioned were in favour of the plan.,noun,A2
2709,survival,sự sống sót,/səˈvaɪvl/,"the state of continuing to live or exist, often despite difficulty or danger",The survival of the endangered species is dependent on conservation efforts.,noun,B2
2710,survive,"sống sót, tồn tại",/səˈvaɪv/,to continue to live or exist,These plants cannot survive in very cold conditions.,verb,B1
2711,survivor,người sống sót,/səˈvaɪvə(r)/,"a person who continues to live, especially despite being nearly killed or experiencing great danger or difficulty",The survivor of the shipwreck was rescued by the coast guard.,noun,B2
2712,suspect,"ngờ, nghi ngờ",/səˈspekt/,"to feel that something is not completely right, legal or honest, without having any proof; to not trust something","As I had suspected all along, he was not a real policeman.",verb,B2
2713,sustain,"duy trì, chống đỡ",/səˈsteɪn/,to provide enough of what somebody/something needs in order to live or exist,Which planets can sustain life?,verb,C1
2714,switch,"cái ngắt điện, công tắc",/swɪtʃ/,a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off,I need to find the switch to turn on the lights.,noun,B2
2715,symbol,biểu tượng,/ˈsɪmbl/,"a person, an object, an event, etc. that represents a more general quality or situation",The vase is decorated with religious symbols.,noun,A2
2716,symptom,triệu chứng bệnh,/ˈsɪmptəm/,a change in your body or mind that shows that you are not healthy,Symptoms include a headache and sore throat.,noun,B2
2717,system,"hệ thống, hệ",/ˈsɪstəm/,an organized set of ideas or theories or a particular way of doing something,The computer system crashed due to a power outage.,noun,A2
2718,tablespoon,muỗng canh,/ˈteɪblspuːn/,the amount a tablespoon can hold,Add two tablespoons of water.,noun,C1
2719,tactic,"phương sách, chiến thuật",/ˈtæktɪk/,the particular method you use to achieve something,They tried all kinds of tactics to get us to go.,noun,C1
2720,tail,đuôi,/teɪl/,"the part that sticks out at the back of the body of a bird, an animal or a fish, which the animal can move from side to side or up and down","The dog ran up, wagging its tail.",noun,B1
2721,tale,"truyện, câu chuyện",/teɪl/,"a story created using the imagination, especially one that is full of action and adventure",The ancient tale was passed down through generations.,noun,B2
2722,talent,"tài, tài năng, tài cán",/ˈtælənt/,a natural ability to do something well,The festival showcases the talent of young musicians.,noun,B1
2723,tank,"thùng két, bể (chứa nước, dầu xăng…)",/tæŋk/,a large container for holding liquid or gas,The fish tank needs to be cleaned regularly to maintain the health of the fish.,noun,B2
2724,tap,"gõ nhẹ vào, vỗ nhẹ vào",/tæp/,to hit somebody/something quickly and lightly,Someone tapped at the door.,verb,B2
2725,tape,"băng ghi âm, băng điện tín",/teɪp/,"a long, thin piece of magnetic material, used for recording sounds, pictures or information, especially before digital technology became available","If you give me a blank tape, I'll record it for you.",noun,B1
2726,target,"kết quả nhằm tới, mục tiêu",/ˈtɑːɡɪt/,a result that you try to achieve,The marketing team has identified a new target audience for our products.,noun,A2
2727,task,"nhiệm vụ, công việc",/tɑːsk/,"a piece of work that somebody has to do, especially a hard or unpleasant one",I have been assigned the task of answering your questions.,noun,A2
2728,tax,"thuế, cước",/tæks/,money that you have to pay to the government so that it can pay for public services. People pay tax according to their income and businesses pay tax according to their profits. Tax is also often paid on goods and services.,I need to file my tax returns before the deadline.,noun,B1
2729,taxpayer,người đóng thuế,/ˈtækspeɪə(r)/,"a person who pays tax to the government, especially on the money that they earn",Hundreds of thousands of pounds of taxpayers' money have been spent on the project.,noun,C1
2730,teacher,giáo viên,/ˈtiːtʃə(r)/,"a person whose job is teaching, especially in a school",My mother is a teacher.,noun,A1
2731,team,đội,/tiːm/,a group of people who play a particular game or sport against another group of people,The basketball team won the championship game last night.,noun,A1
2732,tear,"(giọt) nước mắt, (giọt) lệ",/ter/,"a drop of salty liquid that flows from the eye, as a result of strong emotion, especially unhappiness, or pain",She wiped away a tear as she watched the emotional scene unfold.,noun,B1
2733,teaspoon,"thìa cà phê, thìa trà (khối lượng đựng trong một chiếc thìa)",/ˈtiːspuːn/,the amount a teaspoon can hold,Add two teaspoons of salt.,noun,C1
2734,technical,(thuộc) kỹ thuật,/ˈteknɪkl/,"connected with the practical use of machines, methods, etc. in science and industry",We offer free technical support for those buying our software.,adjective,B1
2735,technique,kỹ thuật,/tekˈniːk/,"a particular way of doing something, especially one in which you have to learn special skills",The artist used a unique technique to create the stunning painting.,noun,B1
2736,technology,công nghệ học,/tekˈnɒlədʒi/,"scientific knowledge used in practical ways in industry, for example in designing new machines",Advancements in technology have revolutionized the way we live our lives.,noun,A2
2737,teenager,thanh thiếu niên,/ˈtiːneɪdʒər/,a person who is between 13 and 19 years old,The teenager was excited to get their driver's license.,noun,A1
2738,telephone,điện thoại,/ˈtelɪfəʊn/,"a system for talking to somebody else over long distances, using wires or radio; a machine used for this",The telephone rang and Pat answered it.,noun,A1
2739,telescope,kính viễn vọng,/ˈtelɪskəʊp/,"a piece of equipment like a tube in shape, containing lenses, that you look through to make objects that are far away appear larger and nearer","The astronomer peered through her telescope, searching for signs of life on distant planets.",noun,B2
2740,television,"truyền hình, vô tuyến truyền hình, ti vi",/ˈtelɪvɪʒn/,a piece of electrical equipment with a screen on which you can watch programmes with moving pictures and sounds,Television has revolutionized the way we consume media.,noun,A1
2741,temperature,nhiệt độ,/ˈtemprətʃər/,the measurement in degrees of how hot or cold a thing or place is,The temperature outside is starting to rise as we move closer to summer.,noun,A2
2742,temporary,"tạm thời, nhất thời",/ˈtempəreri/,lasting or intended to last or be used only for a short time; not permanent,I am just living here temporarily.,adjective,B2
2743,tend,có khuynh hướng; có xu hướng,/tend/,to be likely to do something or to happen in a particular way because this is what often or usually happens,Women tend to live longer than men.,verb,B1
2744,tendency,"xu hướng, chiều hướng",/ˈtendənsi/,"if somebody/something has a particular tendency, they are likely to behave or act in a particular way",Her tendency to overthink things often caused her unnecessary stress.,noun,B2
2745,tennis,quần vợt,/ˈtenɪs/,a game in which two or four players use rackets to hit a ball backwards and forwards across a net on a specially marked court, I love playing tennis with my friends on the weekends.,noun,A1
2746,tension,"sự căng thẳng, tình trạng căng thẳng (về tình cảm, quan hệ giữa nhiều người, nhóm người..)",/ˈtenʃn/,"a situation in which people do not trust each other, or feel unfriendly towards each other, and that may cause them to attack each other",There is mounting tension along the border.,noun,B2
2747,tent,lều; rạp,/tent/,"a shelter made of a large sheet of canvas, nylon, etc. that is supported by poles and ropes fixed to the ground, and is used especially for camping",I need to set up the tent before it gets too dark outside.,noun,B1
2748,term,"hạn, kỳ hạn; nhiệm kỳ",/tɜːm/,a period of time for which something lasts; a fixed or limited time,"In Britain, the spring term starts in January and ends just before Easter.",noun,B2
2749,terms,điều kiện; điều khoản,/tɜːmz/,"the conditions that people offer, demand or accept when they make an agreement, an arrangement or a contract",I need you to agree to the terms and conditions before using our services.,noun,B2
2750,terrible,"khủng khiếp, kinh khủng",/ˈterəbl/,"very unpleasant; making you feel very unhappy, upset or frightened",The weather yesterday was terrible.,adjective,A1
2751,territory,lãnh thổ,/ˈterətɔːri/,land that is under the control of a particular country or political leader,The lion fiercely defends its territory from other predators.,noun,B2
2752,terror,"sự khiếp sợ; sự kinh hoàng; nỗi khiếp sợ, nỗi kinh hoàng",/ˈterə(r)/,a feeling of extreme fear,The thought of encountering a wild bear while hiking alone filled her with terror.,noun,B2
